B7;B8;B9;B10;B11;B12;C4;C5;C6;C7;C8;C9;F7;F8;F9;Wavel.
0,0491;0,0462;0,0506;0,045299999;0,0418;0,0425;0,0535;0,054699998;0,049600001;0,051600002;0,049600001;0,049199998;0,056699999;0,0504;0,047499999;634
0,048999999;0,046;0,050500002;0,045299999;0,041700002;0,042399999;0,053300001;0,054499999;0,049400002;0,0515;0,0495;0,048999999;0,056499999;0,050099999;0,0473;636
0,048900001;0,045899998;0,050500002;0,045200001;0,041700002;0,042399999;0,053199999;0,054299999;0,049199998;0,051399998;0,0493;0,048799999;0,056400001;0,050000001;0,047200002;638
0,048900001;0,045899998;0,050500002;0,045200001;0,0416;0,042300001;0,052999999;0,054099999;0,0491;0,051399998;0,049199998;0,048700001;0,056299999;0,049899999;0,0471;640
0,048799999;0,045699999;0,050500002;0,045200001;0,041499998;0,042199999;0,052700002;0,054000001;0,048900001;0,0513;0,0491;0,048599999;0,056200001;0,049699999;0,0469;642
0,048799999;0,045600001;0,050500002;0,0451;0,0414;0,042199999;0,0526;0,0539;0,048799999;0,051199999;0,048999999;0,0484;0,0561;0,049600001;0,046700001;644
0,048700001;0,045499999;0,050500002;0,045000002;0,0414;0,042199999;0,0524;0,053800002;0,048599999;0,051100001;0,048900001;0,048300002;0,056000002;0,049400002;0,046599999;646
0,048700001;0,045400001;0,050500002;0,045000002;0,041299999;0,042100001;0,052200001;0,0537;0,048599999;0,051100001;0,048799999;0,0482;0,0559;0,0493;0,046500001;648
0,048599999;0,045400001;0,0506;0,045000002;0,041299999;0,042100001;0,052099999;0,053599998;0,048500001;0,050999999;0,048799999;0,048099998;0,055799998;0,049199998;0,046399999;650
0,048599999;0,045299999;0,0506;0,0449;0,041299999;0,041999999;0,052000001;0,0535;0,0484;0,050999999;0,048799999;0,048;0,0557;0,0491;0,046300001;652
0,048599999;0,045299999;0,050700001;0,0449;0,041299999;0,041999999;0,051899999;0,0535;0,048300002;0,050999999;0,048700001;0,047899999;0,055599999;0,048999999;0,0462;654
0,048599999;0,045200001;0,0506;0,044799998;0,041299999;0,041999999;0,0517;0,0535;0,0482;0,050900001;0,048599999;0,047899999;0,055599999;0,048799999;0,046100002;656
0,048700001;0,045200001;0,050799999;0,0449;0,041299999;0,041999999;0,0517;0,0535;0,0482;0,050900001;0,048700001;0,047899999;0,055500001;0,048799999;0,046;658
0,048700001;0,045299999;0,050900001;0,0449;0,0414;0,041999999;0,0517;0,053399999;0,0482;0,050900001;0,048700001;0,047800001;0,055399999;0,048700001;0,045899998;660
0,048700001;0,045299999;0,050999999;0,044799998;0,0414;0,042100001;0,0517;0,053399999;0,0482;0,050900001;0,048700001;0,047800001;0,055199999;0,048599999;0,0458;662
0,048900001;0,045400001;0,0513;0,0449;0,041499998;0,042199999;0,0517;0,053300001;0,0482;0,050900001;0,048700001;0,047800001;0,055100001;0,048500001;0,0458;664
0,048999999;0,045499999;0,0513;0,0449;0,041499998;0,042199999;0,0517;0,053399999;0,0482;0,050900001;0,048700001;0,047800001;0,055100001;0,048500001;0,045699999;666
0,0491;0,045600001;0,051399998;0,0449;0,041700002;0,042300001;0,051800001;0,0535;0,0482;0,050900001;0,048700001;0,047899999;0,055199999;0,048500001;0,045699999;668
0,0491;0,045499999;0,0515;0,044799998;0,041700002;0,042199999;0,0517;0,053599998;0,0482;0,050799999;0,048700001;0,047800001;0,055;0,0484;0,045600001;670
0,0493;0,045699999;0,0517;0,0449;0,0418;0,042399999;0,051800001;0,0537;0,0482;0,050799999;0,048799999;0,047899999;0,055;0,0484;0,045600001;672
0,0493;0,045699999;0,0517;0,044799998;0,0418;0,042399999;0,051800001;0,0537;0,0482;0,050799999;0,048700001;0,047800001;0,054900002;0,048300002;0,045600001;674
0,049199998;0,045600001;0,0517;0,0447;0,0418;0,042300001;0,051800001;0,053800002;0,0482;0,050799999;0,048799999;0,047899999;0,055;0,048300002;0,045600001;676
0,0491;0,045499999;0,0515;0,044599999;0,041700002;0,042199999;0,0517;0,0537;0,048099998;0,0506;0,048700001;0,047800001;0,054900002;0,048300002;0,045600001;678
0,048999999;0,045400001;0,051399998;0,044399999;0,041700002;0,042100001;0,0517;0,053599998;0,048;0,0506;0,048799999;0,047800001;0,0548;0,048300002;0,045600001;680
